idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
0,60722,23429,60469,17470,60470,15206,60470,9925,60470,13409,60470,26867,6299,38233,60722,23929,60469
1,60470,14829,60470,10248,60470,12479,60470,26867,6299,38233,60638,23492,60469,15332,60470,15540,60470
2,60470,12307,60470,26868,6383,38317,60722,24410,60470,15184,60469,14356,60470,9193,60470,13109,60470
3,6299,38233,60722,23022,60470,17314,60469,15237,60470,10316,60470,13885,60470,26868,6299,38233,60722
4,60470,17346,60470,15204,60469,9717,60470,15273,60470,26868,6299,38233,60722,20898,60470,17378,60470
5,60469,10333,60470,13958,60470,26868,6299,38233,60722,22305,60470,17513,60470,15312,60470,10544,60469
6,60470,26868,6299,38233,60722,23414,60470,16574,60470,15201,60469,9420,60470,15099,60470,26868,6299
7,60722,23384,60470,17210,60470,15093,60470,9597,60470,13979,60469,26867,6299,38233,60722,23101,60470
8,60470,15832,60470,10120,60470,13893,60469,26867,6299,38234,60722,21604,60470,17105,60470,15403,60470
9,60469,15574,60470,26868,6300,38234,60721,21222,60470,16652,60470,15157,60470,9808,60470,14461,60469
10,6300,38234,60722,22328,60469,16618,60470,15500,60470,10228,60469,13665,60470,26868,6300,38234,60722
11,60469,16989,60470,15364,60470,9891,60470,14147,60469,26867,6300,38234,60722,22049,60469,16670,60470
12,60470,9097,60470,13869,60470,26867,6299,38233,60722,20001,60470,17012,60469,14341,60470,9991,60470
13,60470,26867,6299,38233,60722,20957,60469,17676,60470,13356,60470,9754,60470,14017,60470,26868,6299
14,60722,20630,60470,17022,60469,14977,60470,10818,60470,12972,60470,26868,6299,38233,60722,20939,60470
15,60469,15426,60470,10433,60470,14910,60470,26868,6299,38233,60722,20667,60470,16764,60469,15030,60470
16,60470,15251,60470,26868,6299,38233,60722,20003,60470,16791,60469,15529,60470,9766,60470,14702,60470
17,6299,38233,60722,19262,60470,17231,60470,15341,60469,10074,60470,13340,60470,26868,6299,38233,60722
18,60470,17276,60470,14273,60469,9718,60470,16308,60470,26868,6299,38233,60722,19438,60470,17136,60470
19,60470,10030,60469,16069,60470,26868,6300,38233,60721,20414,60470,16640,60470,14499,60470,9931,60469
20,60470,26868,6299,38233,60722,19176,60470,14247,60470,15608,60470,9635,60470,17483,60469,26867,6299
21,60722,19360,60470,16032,60470,15874,60470,10348,60470,17301,60469,26867,6300,38233,60721,17647,60470
22,60470,15348,60470,10547,60470,17195,60469,26867,6300,38233,60721,19832,60470,16917,60470,15360,60470
23,60470,18311,60469,26867,6300,38234,60722,19878,60469,16203,60470,15223,60470,10800,60470,17231,60469
24,6300,38234,60638,19209,60469,15439,60470,15278,60470,10430,60470,17957,60469,26867,6384,38318,60722
25,60469,16075,60470,15684,60470,10515,60470,19281,60470,26868,6299,38233,60638,19424,60470,16173,60469
