idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
56,1938,1421,1938,1421,1938,1421,1938,1421,9767,9250,1938,1421,1938,1421,2513,1996,1938,1421
57,1938,1421,1938,1421,1938,1421,1938,1421,9763,9247,1938,1421,1938,1421,2518,2001,1938,1421
58,1938,1421,1938,1421,1938,1421,1938,1421,9758,9241,1938,1421,1938,1421,2526,2009,1938,1421
59,1938,1421,1938,1421,1938,1421,1938,1421,9751,9234,1938,1421,1938,1421,2529,2012,1938,1421
60,1938,1421,1938,1421,1938,1421,1938,1421,9748,9231,1938,1421,1938,1421,2534,2017,1938,1421
61,1938,1421,1938,1421,1938,1421,1938,1421,9743,9226,1938,1421,1938,1421,2553,2036,1938,1421
62,1938,1421,1938,1421,1938,1421,1938,1421,9723,9206,1938,1421,1938,1421,2584,2067,1938,1421
63,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
64,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
65,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
66,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
67,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
68,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
69,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
70,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
71,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
72,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
73,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
74,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
75,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
76,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
77,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
78,1938,1421,1938,1421,1938,1421,1938,1421,9692,9175,1938,1421,1938,1421,2584,2067,1938,1421
