idx,1e,1u,2e,2u,3e,3u,4e,4u,5e,5u,6e,6u,7e,7u,8e,8u,9e,9u
51,60470,14476,60470,10493,60470,36741,50127,26868,1197,33131,18468,21352,57949,17075,60470,15554,60470
52,60470,10455,60469,40345,50059,26868,1014,32948,18467,20332,57950,15198,60470,15296,60470,13037,60469
53,60470,41263,51236,26868,65373,31771,18467,19289,57697,16984,60470,14125,60470,13559,60470,9772,60470
54,50164,26868,1160,33094,18467,19564,57110,17109,60470,13046,60470,14357,60470,10539,60470,44472,50762
55,1150,33084,18467,19728,57026,17498,60470,14515,60469,14416,60470,10279,60470,42862,49557,26868,2440
56,18467,20207,56773,15614,60470,14872,60470,14330,60470,10729,60470,43429,49262,26868,2986,34920,18468
57,56521,15584,60470,15369,60470,13668,60470,10307,60470,43988,50385,26867,2115,34049,18467,18130,56018
58,60470,15679,60470,13774,60469,10316,60470,28036,48977,26868,4028,35962,18467,19652,55766,16986,60469
59,60470,13686,60470,11000,60470,49509,47135,26868,6121,38055,18468,19171,55681,17557,60470,14909,60470
60,60470,10174,60470,54631,46704,26868,6636,38570,18467,19078,55766,17182,60470,13947,60469,13109,60470
61,60470,64847,48426,26868,4831,36765,18467,19892,55766,15204,60470,15320,60469,13488,60470,10478,52844
62,7624,13251,48762,26868,4494,36429,18468,19222,56101,16428,60470,15137,60470,12366,60470,10750,61707
63,64297,13649,47739,26868,5181,37115,18467,19157,56690,17471,60470,12368,60470,12320,60470,10954,60469
64,47176,26868,5157,37091,18467,18970,56690,16465,60470,14438,60470,11868,60469,11089,60470,1796,46537
65,5796,37729,18467,19224,56605,17637,60470,13421,60470,12268,60470,10579,60470,10863,45366,26868,7050
66,18551,19547,56438,15142,60470,15496,60470,11071,60470,11114,60470,21598,45153,26867,7347,39281,18551
67,56186,15200,60470,15045,60469,9514,60470,10922,60470,26868,46215,26868,6538,38472,18467,18942,56269
68,60470,15727,60470,10591,60470,11168,60470,26867,46363,26868,6389,38323,18468,18802,56353,17656,14782
69,45686,462,60470,10266,60470,11999,60469,26867,45178,26868,7491,39425,18467,18493,56438,16530,60470
70,60470,10180,60470,11781,14840,4340,45627,12025,44963,26868,7622,39556,18551,18639,56437,16991,60470
71,60470,9795,60470,10905,60470,26868,45342,26868,7158,39092,18552,20070,56437,16349,60470,14445,60470
72,60470,11183,60470,26867,45437,26868,7063,38997,18803,18399,56438,16113,60470,14590,60470,9222,60469
73,60470,26868,44332,26868,7917,39851,18887,15976,56942,15886,60470,13637,60469,9895,60470,12232,60470
74,44569,26868,7092,39025,19223,19460,57109,17138,60470,13567,60470,9220,60470,11571,60470,26867,44232
75,6924,38858,19728,19054,57277,16430,60470,13919,60470,9380,60470,10164,60469,26867,44697,26868,5788
76,20063,20622,57446,16793,60470,14121,60470,9507,60469,12235,60470,26868,45608,26868,4373,36306,20147
77,57446,16163,60469,15157,60470,8521,60470,11818,60470,26868,44413,26868,5483,37417,20232,18865,57361
78,60470,14836,60470,9681,60470,12581,60470,26867,43660,26868,6236,38170,20987,17588,57530,17063,60470
79,60470,9472,60469,13270,60470,26868,40556,26868,8417,40350,22247,19317,57614,16776,60470,13646,60469
80,60470,12701,60470,26868,39974,26868,7654,39588,23592,21185,57698,17060,60469,13626,60470,10209,60470
81,60470,26868,40533,26868,5667,37601,26112,20211,57950,14968,60469,14859,60470,9319,60470,12986,60470
82,36001,26868,7427,39360,26448,18325,58201,15908,60470,14652,60470,9868,60470,13631,60470,26867,33949
83,8890,40824,26868,18719,58202,15937,60470,14025,60470,10167,60469,14429,60470,26868,31536,26869,10884
84,27036,19763,58285,16623,60470,15174,60470,8761,60470,14374,60470,26868,30652,26868,11516,43450,28044
