Time [s],Value,Parity Error,Framing Error
1.322984125000000,\r,,
1.323070875000000,\n,,
1.323157625000000,+,,
1.323244437500000,I,,
1.323331187500000,P,,
1.323417937500000,D,,
1.323504687500000,COMMA,,
1.323591437500000,0,,
1.323678187500000,COMMA,,
1.323764937500000,2,,
1.323851687500000,4,,
1.323938437500000,0,,
1.324025250000000,:,,
1.324112000000000,'170',,
1.324198750000000,'161',,
1.324285500000000,'170',,
1.324372250000000,'161',,
1.324459000000000,3,,
1.324545750000000,3,,
1.324632500000000,'211',,
1.324719312500000,?,,
1.324806062500000,'0',,
1.324892812500000,'0',,
1.324979562500000,'0',,
1.325066312500000,'0',,
1.325153062500000,'0',,
1.325239812500000,'0',,
1.325326562500000,'0',,
1.325413375000000,'0',,
1.325500125000000,'0',,
1.325586875000000,'0',,
1.325673625000000,'0',,
1.325760375000000,'0',,
1.325847125000000,'170',,
1.325933875000000,'161',,
1.326020625000000,'170',,
1.326107437500000,'161',,
1.326194187500000,3,,
1.326280937500000,3,,
1.326367687500000,'211',,
1.326454437500000,?,,
1.326541187500000,'0',,
1.326627937500000,'0',,
1.326714687500000,'0',,
1.326801437500000,'0',,
1.326888250000000,'0',,
1.326975000000000,'0',,
1.327061750000000,'0',,
1.327148500000000,'0',,
1.327235250000000,'0',,
1.327322000000000,'0',,
1.327408750000000,'0',,
1.327495500000000,'0',,
1.327582312500000,'170',,
1.327669062500000,'171',,
1.327755812500000,'170',,
1.327842562500000,'171',,
1.327929312500000,'191',,
1.328016062500000,'22',,
1.328102812500000,U,,
1.328189562500000,'188',,
1.328276375000000,V,,
1.328363125000000,k,,
1.328449875000000,d,,
1.328536625000000,<,,
1.328623375000000,'240',,
1.328710125000000,'230',,
1.328796875000000,'252',,
1.328883625000000,'190',,
1.328970437500000,'0',,
1.329057187500000,'0',,
1.329143937500000,'0',,
1.329230687500000,'0',,
1.329317437500000,'170',,
1.329404187500000,'171',,
1.329490937500000,'170',,
1.329577687500000,'171',,
1.329664437500000,'186',,
1.329751250000000,'138',,
1.329838000000000,'212',,
1.329924750000000,'188',,
1.330011500000000,'129',,
1.330098250000000,3,,
1.330185000000000,'201',,
1.330271750000000,<,,
1.330358500000000,G,,
1.330445312500000,l,,
1.330532062500000,|,,
1.330618812500000,'191',,
1.330705562500000,'0',,
1.330792312500000,'0',,
1.330879062500000,'0',,
1.330965812500000,'0',,
1.331052562500000,'170',,
1.331139375000000,'161',,
1.331226125000000,'170',,
1.331312875000000,'161',,
1.331399625000000,3,,
1.331486375000000,3,,
1.331573125000000,'211',,
1.331659875000000,?,,
1.331746625000000,'0',,
1.331833437500000,'0',,
1.331920187500000,'0',,
1.332006937500000,'0',,
1.332093687500000,'0',,
1.332180437500000,'0',,
1.332267187500000,'0',,
1.332353937500000,'0',,
1.332440687500000,'0',,
1.332527437500000,'0',,
1.332614250000000,'0',,
1.332701000000000,'0',,
1.332787750000000,'170',,
1.332874500000000,'171',,
1.332961250000000,'170',,
1.333048000000000,'171',,
1.333134750000000,'22',,
1.333221500000000,'153',,
1.333308312500000,=,,
1.333395062500000,'189',,
1.333481812500000,'241',,
1.333568562500000,'210',,
1.333655312500000,'15',,
1.333742062500000,=,,
1.333828812500000,j,,
1.333915562500000,'237',,
1.334002375000000,'188',,
1.334089125000000,'191',,
1.334175875000000,'0',,
1.334262625000000,'0',,
1.334349375000000,'0',,
1.334436125000000,'0',,
1.334522875000000,'170',,
1.334609625000000,'171',,
1.334696437500000,'170',,
1.334783187500000,'171',,
1.334869937500000,'138',,
1.334956687500000,N,,
1.335043437500000,s,,
1.335130187500000,'189',,
1.335216937500000,'243',,
1.335303687500000,'250',,
1.335390500000000,F,,
1.335477250000000,=,,
1.335564000000000,*,,
1.335650750000000,'17',,
1.335737500000000,'252',,
1.335824250000000,'191',,
1.335911000000000,'0',,
1.335997750000000,'0',,
1.336084500000000,'0',,
1.336171312500000,'0',,
1.336258062500000,'170',,
1.336344812500000,'161',,
1.336431562500000,'170',,
1.336518312500000,'161',,
1.336605062500000,3,,
1.336691812500000,3,,
1.336778562500000,'211',,
1.336865375000000,?,,
1.336952125000000,'0',,
1.337038875000000,'0',,
1.337125625000000,'0',,
1.337212375000000,'0',,
1.337299125000000,'0',,
1.337385875000000,'0',,
1.337472625000000,'0',,
1.337559437500000,'0',,
1.337646187500000,'0',,
1.337732937500000,'0',,
1.337819687500000,'0',,
1.337906437500000,'0',,
1.337993187500000,'170',,
1.338079937500000,'171',,
1.338166687500000,'170',,
1.338253437500000,'171',,
1.338340250000000,2,,
1.338427000000000,'241',,
1.338513750000000,'160',,
1.338600500000000,'189',,
1.338687250000000,'138',,
1.338774000000000,COMMA,,
1.338860750000000,'127',,
1.338947500000000,=,,
1.339034312500000,'130',,
1.339121062500000,'179',,
1.339207812500000,'29',,
1.339294562500000,'192',,
1.339381312500000,'0',,
1.339468062500000,'0',,
1.339554812500000,'0',,
1.339641562500000,'0',,
1.339728375000000,'170',,
1.339815125000000,'161',,
1.339901875000000,'170',,
1.339988625000000,'161',,
1.340075375000000,3,,
1.340162125000000,3,,
1.340248875000000,'211',,
1.340335625000000,?,,
1.340422437500000,'0',,
1.340509187500000,'0',,
