roll,pitch,yaw
0,-17.527246475219727,6.151067733764648,-26.457275390625
1,-17.53667449951172,6.147942066192627,-26.513826370239258
2,-17.541898727416992,6.1415791511535645,-26.56722640991211
3,-17.554662704467773,6.134674072265625,-26.621788024902344
4,-17.563127517700195,6.130950450897217,-26.675994873046875
5,-17.564680099487305,6.1232008934021,-26.73084259033203
6,-17.565326690673828,6.116488456726074,-26.78533363342285
7,-17.56906509399414,6.1141228675842285,-26.839988708496094
8,-17.57184600830078,6.11047887802124,-26.890056610107422
9,-17.575332641601562,6.105996608734131,-26.94105339050293
10,-17.581201553344727,6.10223388671875,-26.989896774291992
11,-17.58613395690918,6.092703342437744,-27.042461395263672
12,-17.591245651245117,6.089812278747559,-27.09501075744629
13,-17.59963607788086,6.084624767303467,-27.150754928588867
14,-17.604164123535156,6.081614017486572,-27.202674865722656
15,-17.609888076782227,6.075795650482178,-27.257993698120117
16,-17.610088348388672,6.071381568908691,-27.313358306884766
17,-17.615264892578125,6.059961795806885,-27.365556716918945
18,-17.620758056640625,6.047840118408203,-27.417835235595703
19,-17.62511444091797,6.036372184753418,-27.469770431518555
20,-17.629446029663086,6.033488750457764,-27.522239685058594
21,-17.640459060668945,6.026085376739502,-27.580556869506836
22,-17.64740562438965,6.025422096252441,-27.634899139404297
23,-17.653852462768555,6.028077602386475,-27.69025421142578
24,-17.658666610717773,6.02726411819458,-27.74421501159668
25,-17.666160583496094,6.0242109298706055,-27.80438804626465
26,-17.667829513549805,6.015987396240234,-27.85848617553711
27,-17.672931671142578,6.008526802062988,-27.91244125366211
28,-17.6849365234375,6.001591205596924,-27.96790885925293
29,-17.694055557250977,5.9966936111450195,-28.023513793945312
30,-17.70083236694336,5.987374305725098,-28.074934005737305
31,-17.704092025756836,5.976156234741211,-28.12273406982422
32,-17.71183967590332,5.968900203704834,-28.175743103027344
33,-17.719987869262695,5.962245941162109,-28.23150634765625
34,-17.732234954833984,5.953281402587891,-28.290645599365234
35,-17.734663009643555,5.940911769866943,-28.345462799072266
36,-17.737363815307617,5.932282447814941,-28.399898529052734
37,-17.741775512695312,5.92460823059082,-28.453786849975586
38,-17.74742889404297,5.920333385467529,-28.508541107177734
39,-17.751476287841797,5.909848213195801,-28.563400268554688
40,-17.75621795654297,5.90638542175293,-28.623573303222656
41,-17.76732063293457,5.904143810272217,-28.681833267211914
42,-17.768877029418945,5.892655849456787,-28.737985610961914
43,-17.773357391357422,5.886634349822998,-28.791179656982422
44,-17.78578758239746,5.883712291717529,-28.847251892089844
45,-17.788061141967773,5.875941276550293,-28.899152755737305
46,-17.793928146362305,5.86430549621582,-28.952184677124023
47,-17.801441192626953,5.861830711364746,-29.011760711669922
48,-17.812225341796875,5.861703395843506,-29.0738582611084
49,-17.818788528442383,5.858048915863037,-29.1312198638916
50,-17.832500457763672,5.853325366973877,-29.193235397338867
51,-17.84546661376953,5.8461689949035645,-29.250001907348633
52,-17.85054588317871,5.840914726257324,-29.30998420715332
53,-17.86103057861328,5.8344807624816895,-29.368480682373047
54,-17.86723518371582,5.825535297393799,-29.4239501953125
55,-17.87262535095215,5.820058822631836,-29.480194091796875
56,-17.878816604614258,5.816617488861084,-29.540172576904297
57,-17.888912200927734,5.810102462768555,-29.595983505249023
58,-17.895906448364258,5.809719085693359,-29.656551361083984
59,-17.902843475341797,5.802724838256836,-29.71597671508789
60,-17.90993309020996,5.801142692565918,-29.77132797241211
61,-17.91736602783203,5.794700622558594,-29.828752517700195
62,-17.925851821899414,5.7848052978515625,-29.885101318359375
63,-17.933364868164062,5.7806501388549805,-29.94207191467285
64,-17.944936752319336,5.773104667663574,-30.00067138671875
65,-17.950088500976562,5.767291069030762,-30.059051513671875
66,-17.958349227905273,5.774416446685791,-30.122827529907227
67,-17.96778106689453,5.775566101074219,-30.186012268066406
68,-17.97447395324707,5.773035049438477,-30.247634887695312
69,-17.983774185180664,5.7684102058410645,-30.30745506286621
70,-17.993215560913086,5.768921852111816,-30.369787216186523
71,-18.000425338745117,5.760097980499268,-30.430030822753906
72,-18.0108585357666,5.74959135055542,-30.491989135742188
73,-18.025083541870117,5.743348121643066,-30.5557918548584
74,-18.034832000732422,5.739481449127197,-30.6179141998291
75,-18.042110443115234,5.736588001251221,-30.682231903076172
76,-18.057857513427734,5.727031230926514,-30.748882293701172
77,-18.073875427246094,5.727903842926025,-30.8150634765625
78,-18.082813262939453,5.724790096282959,-30.87233543395996
79,-18.089420318603516,5.7192535400390625,-30.93459701538086
80,-18.096664428710938,5.716463565826416,-31.000837326049805
81,-18.09916877746582,5.7081403732299805,-31.060331344604492
82,-18.103239059448242,5.6930623054504395,-31.118778228759766
83,-18.11470603942871,5.682217597961426,-31.18070411682129
84,-18.120494842529297,5.678232669830322,-31.24226188659668
85,-18.130529403686523,5.672479152679443,-31.30103874206543
86,-18.1320743560791,5.663382053375244,-31.36255645751953
87,-18.1374568939209,5.657702922821045,-31.419902801513672
88,-18.146284103393555,5.651620388031006,-31.483827590942383
89,-18.152828216552734,5.648810386657715,-31.546701431274414
90,-18.155685424804688,5.646961688995361,-31.6075439453125
91,-18.15732765197754,5.638280868530273,-31.668020248413086
92,-18.162748336791992,5.630940914154053,-31.730344772338867
93,-18.168821334838867,5.620870590209961,-31.790874481201172
