Time [s],Value,Parity Error,Framing Error
1.322984125000000,0x0D,,
1.323070875000000,0x0A,,
1.323157625000000,0x2B,,
1.323244437500000,0x49,,
1.323331187500000,0x50,,
1.323417937500000,0x44,,
1.323504687500000,0x2C,,
1.323591437500000,0x30,,
1.323678187500000,0x2C,,
1.323764937500000,0x32,,
1.323851687500000,0x34,,
1.323938437500000,0x30,,
1.324025250000000,0x3A,,
1.324112000000000,0xAA,,
1.324198750000000,0xA1,,
1.324285500000000,0xAA,,
1.324372250000000,0xA1,,
1.324459000000000,0x33,,
1.324545750000000,0x33,,
1.324632500000000,0xD3,,
1.324719312500000,0x3F,,
1.324806062500000,0x00,,
1.324892812500000,0x00,,
1.324979562500000,0x00,,
1.325066312500000,0x00,,
1.325153062500000,0x00,,
1.325239812500000,0x00,,
1.325326562500000,0x00,,
1.325413375000000,0x00,,
1.325500125000000,0x00,,
1.325586875000000,0x00,,
1.325673625000000,0x00,,
1.325760375000000,0x00,,
1.325847125000000,0xAA,,
1.325933875000000,0xA1,,
1.326020625000000,0xAA,,
1.326107437500000,0xA1,,
1.326194187500000,0x33,,
1.326280937500000,0x33,,
1.326367687500000,0xD3,,
1.326454437500000,0x3F,,
1.326541187500000,0x00,,
1.326627937500000,0x00,,
1.326714687500000,0x00,,
1.326801437500000,0x00,,
1.326888250000000,0x00,,
1.326975000000000,0x00,,
1.327061750000000,0x00,,
1.327148500000000,0x00,,
1.327235250000000,0x00,,
1.327322000000000,0x00,,
1.327408750000000,0x00,,
1.327495500000000,0x00,,
1.327582312500000,0xAA,,
1.327669062500000,0xAB,,
1.327755812500000,0xAA,,
1.327842562500000,0xAB,,
1.327929312500000,0xBF,,
1.328016062500000,0x16,,
1.328102812500000,0x55,,
1.328189562500000,0xBC,,
1.328276375000000,0x56,,
1.328363125000000,0x6B,,
1.328449875000000,0x64,,
1.328536625000000,0x3C,,
1.328623375000000,0xF0,,
1.328710125000000,0xE6,,
1.328796875000000,0xFC,,
1.328883625000000,0xBE,,
1.328970437500000,0x00,,
1.329057187500000,0x00,,
1.329143937500000,0x00,,
1.329230687500000,0x00,,
1.329317437500000,0xAA,,
1.329404187500000,0xAB,,
1.329490937500000,0xAA,,
1.329577687500000,0xAB,,
1.329664437500000,0xBA,,
1.329751250000000,0x8A,,
1.329838000000000,0xD4,,
1.329924750000000,0xBC,,
1.330011500000000,0x81,,
1.330098250000000,0x33,,
1.330185000000000,0xC9,,
1.330271750000000,0x3C,,
1.330358500000000,0x47,,
1.330445312500000,0x6C,,
1.330532062500000,0x7C,,
1.330618812500000,0xBF,,
1.330705562500000,0x00,,
1.330792312500000,0x00,,
1.330879062500000,0x00,,
1.330965812500000,0x00,,
1.331052562500000,0xAA,,
1.331139375000000,0xA1,,
1.331226125000000,0xAA,,
1.331312875000000,0xA1,,
1.331399625000000,0x33,,
1.331486375000000,0x33,,
1.331573125000000,0xD3,,
1.331659875000000,0x3F,,
1.331746625000000,0x00,,
1.331833437500000,0x00,,
1.331920187500000,0x00,,
1.332006937500000,0x00,,
1.332093687500000,0x00,,
1.332180437500000,0x00,,
1.332267187500000,0x00,,
1.332353937500000,0x00,,
1.332440687500000,0x00,,
1.332527437500000,0x00,,
1.332614250000000,0x00,,
1.332701000000000,0x00,,
1.332787750000000,0xAA,,
1.332874500000000,0xAB,,
1.332961250000000,0xAA,,
1.333048000000000,0xAB,,
1.333134750000000,0x16,,
1.333221500000000,0x99,,
1.333308312500000,0x3D,,
1.333395062500000,0xBD,,
1.333481812500000,0xF1,,
1.333568562500000,0xD2,,
1.333655312500000,0x0F,,
1.333742062500000,0x3D,,
1.333828812500000,0x6A,,
1.333915562500000,0xED,,
1.334002375000000,0xBC,,
1.334089125000000,0xBF,,
1.334175875000000,0x00,,
1.334262625000000,0x00,,
1.334349375000000,0x00,,
1.334436125000000,0x00,,
1.334522875000000,0xAA,,
1.334609625000000,0xAB,,
1.334696437500000,0xAA,,
1.334783187500000,0xAB,,
1.334869937500000,0x8A,,
1.334956687500000,0x4E,,
1.335043437500000,0x73,,
1.335130187500000,0xBD,,
1.335216937500000,0xF3,,
1.335303687500000,0xFA,,
1.335390500000000,0x46,,
1.335477250000000,0x3D,,
1.335564000000000,0x2A,,
1.335650750000000,0x11,,
1.335737500000000,0xFC,,
1.335824250000000,0xBF,,
1.335911000000000,0x00,,
1.335997750000000,0x00,,
1.336084500000000,0x00,,
1.336171312500000,0x00,,
1.336258062500000,0xAA,,
1.336344812500000,0xA1,,
1.336431562500000,0xAA,,
1.336518312500000,0xA1,,
1.336605062500000,0x33,,
1.336691812500000,0x33,,
1.336778562500000,0xD3,,
1.336865375000000,0x3F,,
1.336952125000000,0x00,,
1.337038875000000,0x00,,
1.337125625000000,0x00,,
1.337212375000000,0x00,,
1.337299125000000,0x00,,
1.337385875000000,0x00,,
1.337472625000000,0x00,,
1.337559437500000,0x00,,
1.337646187500000,0x00,,
1.337732937500000,0x00,,
1.337819687500000,0x00,,
1.337906437500000,0x00,,
1.337993187500000,0xAA,,
1.338079937500000,0xAB,,
1.338166687500000,0xAA,,
1.338253437500000,0xAB,,
1.338340250000000,0x32,,
1.338427000000000,0xF1,,
1.338513750000000,0xA0,,
1.338600500000000,0xBD,,
1.338687250000000,0x8A,,
1.338774000000000,0x2C,,
1.338860750000000,0x7F,,
1.338947500000000,0x3D,,
1.339034312500000,0x82,,
1.339121062500000,0xB3,,
1.339207812500000,0x1D,,
1.339294562500000,0xC0,,
1.339381312500000,0x00,,
1.339468062500000,0x00,,
1.339554812500000,0x00,,
1.339641562500000,0x00,,
1.339728375000000,0xAA,,
1.339815125000000,0xA1,,
1.339901875000000,0xAA,,
1.339988625000000,0xA1,,
1.340075375000000,0x33,,
1.340162125000000,0x33,,
1.340248875000000,0xD3,,
1.340335625000000,0x3F,,
1.340422437500000,0x00,,
1.340509187500000,0x00,,
1.340595937500000,0x00,,
1.340682687500000,0x00,,
1.340769437500000,0x00,,
1.340856187500000,0x00,,
1.340942937500000,0x00,,
1.341029687500000,0x00,,
1.341116437500000,0x00,,
1.341203250000000,0x00,,
1.341290000000000,0x00,,
1.341376750000000,0x00,,
1.341463500000000,0xAA,,
1.341550250000000,0xAB,,
1.341637000000000,0xAA,,
1.341723750000000,0xAB,,
1.341810500000000,0xFC,,
1.341897312500000,0xC5,,
1.341984062500000,0xC0,,
1.342070812500000,0xBD,,
1.342157562500000,0x08,,
1.342244312500000,0x48,,
1.342331062500000,0x9D,,
1.342417812500000,0x3D,,
1.342504562500000,0xD2,,
1.342591375000000,0x34,,
1.342678125000000,0x3D,,
1.342764875000000,0xC0,,
1.342851625000000,0x00,,
1.342938375000000,0x00,,
1.343025125000000,0x00,,
1.343111875000000,0x00,,
1.343198625000000,0xAA,,
1.343285437500000,0xAB,,
1.343372187500000,0xAA,,
1.343458937500000,0xAB,,
1.343545687500000,0xC4,,
1.343632437500000,0xB1,,
1.343719187500000,0xE5,,
1.343805937500000,0xBD,,
1.343892687500000,0xA6,,
1.343979500000000,0xC4,,
1.344066250000000,0xB6,,
1.344153000000000,0x3D,,
1.344239750000000,0x8C,,
1.344326500000000,0xD4,,
1.344413250000000,0x5C,,
1.344500000000000,0xC0,,
1.344586750000000,0x00,,
1.344673500000000,0x00,,
1.344760312500000,0x00,,
1.344847062500000,0x00,,
