idx,roll,pitch,yaw
0,3.7880213260650635,25.54619789123535,44.31695556640625
1,3.7940821647644043,25.5556583404541,44.26917266845703
2,3.786870241165161,25.556682586669922,44.22264099121094
3,3.774301767349243,25.559484481811523,44.1747932434082
4,3.7698683738708496,25.580190658569336,44.12821578979492
5,3.770216941833496,25.598529815673828,44.09392547607422
6,3.7625179290771484,25.61171531677246,44.05388259887695
7,3.7573742866516113,25.62773323059082,44.00889587402344
8,3.747314929962158,25.643390655517578,43.9619026184082
9,3.7246499061584473,25.68131446838379,43.899314880371094
10,3.676502227783203,25.891752243041992,43.78980255126953
11,3.5214316844940186,26.45905113220215,43.60470962524414
12,3.3342032432556152,26.99835205078125,43.44411087036133
13,3.108360767364502,27.39215850830078,43.44893264770508
14,2.558872938156128,27.457073211669922,43.44415283203125
15,2.4937682151794434,27.209972381591797,43.41407012939453
16,2.952047348022461,26.957042694091797,43.496646881103516
17,3.584149122238159,26.714431762695312,43.486026763916016
18,4.297616004943848,26.52913475036621,43.44894027709961
19,4.805492877960205,26.37921714782715,43.367828369140625
20,4.936121940612793,26.557323455810547,43.34015655517578
21,4.726300239562988,27.15046501159668,43.42918395996094
22,4.714384078979492,27.524246215820312,43.631717681884766
23,4.948862075805664,27.6318416595459,43.73440170288086
24,5.190779685974121,27.643142700195312,43.7868537902832
25,5.277769565582275,27.350177764892578,43.792266845703125
26,4.9425225257873535,27.262887954711914,43.63339614868164
27,4.61641263961792,27.20968246459961,43.563987731933594
28,4.427109718322754,27.23565101623535,43.5118522644043
29,4.316680431365967,27.228885650634766,43.48067855834961
30,4.164051532745361,27.07925796508789,43.50226593017578
31,3.9503748416900635,26.92708969116211,43.5264892578125
32,3.7038722038269043,26.863143920898438,43.52001953125
33,3.506007432937622,26.850534439086914,43.50063705444336
34,3.3901703357696533,26.93278694152832,43.45730209350586
35,3.4038195610046387,26.999235153198242,43.451820373535156
36,3.437891721725464,26.998851776123047,43.47594451904297
37,3.4456846714019775,27.029218673706055,43.47901916503906
38,3.28627347946167,27.075448989868164,43.45587158203125
39,3.031686305999756,27.116928100585938,43.42897033691406
40,2.867499589920044,27.050228118896484,43.42765808105469
41,2.8538601398468018,26.972326278686523,43.39572525024414
42,2.851989269256592,26.96064567565918,43.35396194458008
43,2.783186674118042,27.0207576751709,43.29352951049805
44,2.5845792293548584,27.08614158630371,43.19846725463867
45,2.382722854614258,27.078079223632812,43.13111877441406
46,2.2830252647399902,27.064361572265625,43.07780838012695
47,2.1758015155792236,27.109495162963867,43.025787353515625
48,2.0713160037994385,27.096799850463867,43.00788879394531
49,1.9413254261016846,27.018917083740234,42.98767852783203
50,1.8658705949783325,26.842296600341797,43.01262283325195
51,1.8241807222366333,26.8237247467041,42.98334503173828
52,1.8132089376449585,26.823299407958984,42.98043441772461
53,1.707045078277588,26.826175689697266,42.97471618652344
54,1.4988842010498047,26.779701232910156,42.90638732910156
55,1.3225064277648926,26.598941802978516,42.869537353515625
56,1.3350746631622314,26.362716674804688,42.892738342285156
57,1.34767484664917,26.445453643798828,42.87723159790039
58,1.3304983377456665,26.546634674072266,42.866310119628906
59,1.2430371046066284,26.5003662109375,42.79646301269531
60,1.2305940389633179,26.344938278198242,42.78590393066406
61,1.1751623153686523,26.243227005004883,42.77953338623047
62,1.0647052526474,26.317434310913086,42.77391052246094
63,1.0232973098754883,26.400672912597656,42.73133087158203
64,1.0228660106658936,26.320951461791992,42.68537902832031
65,0.8858283162117004,26.179035186767578,42.63176727294922
66,0.8279799222946167,26.090274810791016,42.59868621826172
67,0.8288897275924683,25.965784072875977,42.55824661254883
68,0.9540778398513794,25.728485107421875,42.52717590332031
69,1.0330580472946167,25.597698211669922,42.495967864990234
70,0.9429097175598145,25.58102798461914,42.4405403137207
71,0.9067953824996948,25.523284912109375,42.38219451904297
72,0.9091888070106506,25.378318786621094,42.31317901611328
73,0.9314010739326477,25.181655883789062,42.261634826660156
74,0.9212425351142883,24.940717697143555,42.21242904663086
75,0.9220156669616699,24.837587356567383,42.17760467529297
76,0.8800025582313538,25.007404327392578,42.08424377441406
77,0.8962708711624146,24.998865127563477,42.008949279785156
78,0.9361572265625,24.875947952270508,41.94695281982422
79,0.9531620144844055,24.875690460205078,41.90671920776367
80,0.9473027586936951,24.914194107055664,41.86029052734375
81,1.003487229347229,24.78822898864746,41.82047653198242
82,1.1238056421279907,24.516939163208008,41.797203063964844
83,1.1839896440505981,24.50574493408203,41.73501968383789
84,1.2321362495422363,24.6115779876709,41.67921829223633
85,1.2961503267288208,24.562496185302734,41.615299224853516
86,1.383310317993164,24.469135284423828,41.560813903808594
87,1.4409756660461426,24.323379516601562,41.502899169921875
88,1.504180669784546,24.086084365844727,41.445255279541016
89,1.5349208116531372,23.925912857055664,41.36784744262695
90,1.5590341091156006,23.9379825592041,41.295257568359375
91,1.570825457572937,23.86787986755371,41.23385238647461
